,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,138.06332135712302,28.97032511979906,4.765680771140778,4.741961735909831e-06,80.7764962349595,195.35014647928654
Renewable energy consumption (% of total final energy consumption),0.36378300133860386,0.8034958887926414,0.45275029581699017,0.6514447242291518,-1.2250748481089853,1.952640850786193
Energy use (kg of oil equivalent per capita),-0.023710560556896923,0.00544408473535743,-4.35528866825035,2.584584686582863e-05,-0.034475863634960004,-0.012945257478833842
