Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
United States,USA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,6933.943914,6810.094695,6688.249529,6618.988721,6770.788961,6736.457903,6138.375293,6441.742879,6520.176697,6428.36337
United States,USA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,9,8.9,9.3,9.7,9.9,10.2,11,10.9,..,..
Canada,CAN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,31.78555074,31.02428218,30.73856809,34.63733381,39.3172784,37.86235006,24.11027361,27.50451614,30.61374838,30.54352877
Canada,CAN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,7772.234835,7681.963987,7936.49539,8166.271172,8158.329636,8116.538737,7485.622496,7601.816111,7631.68863,7415.781015
Canada,CAN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,22.2,22.3,22.1,22.8,22.3,22.4,23.9,23.8,..,..
Sweden,SWE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-25.13725085,-24.92408982,-25.39381413,-26.70690708,-30.99690409,-31.50180522,-33.8570771,-30.20498811,-36.63167069,-38.06044463
Sweden,SWE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4999.594372,4575.32695,4860.492821,4928.606492,4968.045089,4783.841496,4287.007385,4560.477797,4326.562772,4252.627779
Sweden,SWE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,48.6,51.9,50.9,51.8,51.6,52.9,57.8,57.9,..,..
India,IND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,273.3791109,276.2575636,283.454403,305.1663986,328.362544,323.1877551,286.0490641,324.2612254,356.2807637,391.9667354
India,IND,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,609.7696302,621.2331019,625.3399365,647.9619833,671.5206492,665.5746873,624.8614464,675.2827757,712.2425324,..
India,IND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,33.9,33.4,33,32.5,32.9,33.5,36.1,34.9,..,..
Australia,AUS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,42.68633402,44.22926172,47.09686967,47.93622753,47.34914514,46.86436287,41.34019271,38.5164431,34.98807939,34.53361626
Australia,AUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5407.438226,5318.666793,5216.988672,5323.928583,5282.206643,5295.871644,5229.062653,5070.767227,4889.621279,5077.04278
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,9.3,9.4,9.6,9.9,9.8,10.3,11.2,12.3,..,..
Singapore,SGP,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,70.22990249,74.37863765,67.41520845,79.78147256,71.33739044,76.63690194,70.24443728,75.96419386,76.17810808,80.32083973
Singapore,SGP,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,5609.371507,5832.187484,5948.359805,6313.427053,5798.256934,6067.596481,6033.411815,6495.850923,6630.390448,..
Singapore,SGP,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1.1,..,..
